ticker,tradeDate,expirDate,dte,strike,stockPrice,callVolume,callOpenInterest,callBidSize,callAskSize,putVolume,putOpenInterest,putBidSize,putAskSize,callBidPrice,callValue,callAskPrice,putBidPrice,putValue,putAskPrice,callBidIv,callMidIv,callAskIv,smvVol,putBidIv,putMidIv,putAskIv,residualRate,delta,gamma,theta,vega,rho,phi,driftlessTheta,callSmvVol,putSmvVol,extSmvVol,extCallValue,extPutValue,spotPrice,quoteDate,updatedAt
SPY,2021-04-15,2021-04-16,2,280,415.69,0,0,92,117,0,9400,0,4808,135.64,135.69000000000008,135.72,0,0,0.01,0,2.7372933389522767,2.7372933389522767,0.283,0,2.4205737888210064,2.4205737888210064,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,135.69000000000003,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,281,415.69,0,0,92,117,0,2552,0,4842,134.64,134.69000000000008,134.72,0,0,0.01,0,2.7145500212723146,2.7145500212723146,0.283,0,2.400282496380455,2.400282496380455,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,134.69000000000003,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,282,415.69,0,0,92,116,0,2156,0,4848,133.64,133.69000000000008,133.72,0,0,0.01,0,2.6918912293242827,2.6918912293242827,0.283,0,2.380063981542444,2.380063981542444,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,133.69000000000003,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,283,415.69,0,0,93,116,0,1752,0,4842,132.64,132.69000000000008,132.72,0,0,0.01,0,2.6693047442008537,2.6693047442008537,0.283,0,2.3599177240376696,2.3599177240376696,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,132.69000000000003,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,284,415.69,0,0,93,115,0,3016,0,4846,131.64,131.69000000000008,131.72,0,0,0.01,0,2.646804647030949,2.646804647030949,0.283,0,2.339843209113324,2.339843209113324,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,131.69000000000003,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,285,415.69,0,22,93,116,0,2613,0,4847,130.64,130.69000000000008,130.72,0,0,0.01,0,2.5509566586954433,2.5509566586954433,0.283,0,2.3198399274542028,2.3198399274542028,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,130.69000000000003,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,286,415.69,0,0,93,115,0,1846,0,4848,129.64,129.69000000000008,129.72,0,0,0.01,0,2.529250540626308,2.529250540626308,0.283,0,2.2999073751050334,2.2999073751050334,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,129.69000000000003,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,287,415.69,0,0,93,114,0,678,0,4847,128.64,128.69000000000008,128.72,0,0,0.01,0,2.5076207767683467,2.5076207767683467,0.283,0,2.280045053394112,2.280045053394112,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,128.69000000000003,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,288,415.69,0,0,92,113,0,1870,0,4847,127.64,127.69000000000008,127.72,0,0,0.01,0,2.4860669219905467,2.4860669219905467,0.283,0,2.260252468858385,2.260252468858385,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,127.69000000000003,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,289,415.69,0,0,92,112,0,1553,0,4843,126.64,126.69000000000007,126.72,0,0,0.01,0,2.464588571555488,2.464588571555488,0.283,0,2.240529133169698,2.240529133169698,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,126.69000000000004,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,290,415.69,0,5,92,111,0,59075,0,4836,125.64,125.69000000000007,125.72,0,0,0.01,0,2.5134601546215745,2.5134601546215745,0.283,0,2.2208745630622078,2.2208745630622078,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,125.69000000000004,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,291,415.69,0,0,91,110,0,2897,0,4833,124.64,124.69000000000007,124.72,0,0,0.01,0,2.49150666424776,2.49150666424776,0.283,0,2.2012906068440246,2.2012906068440246,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,124.69000000000004,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,292,415.69,10,0,10,10,6,1253,0,4819,123.65,123.69000000000007,123.71,0,0,0.01,0,2.400601628369246,2.400601628369246,0.283,0,2.18186566903403,2.18186566903403,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,123.69000000000004,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,293,415.69,0,0,10,10,0,1112,0,4843,122.65,122.69000000000007,122.71,0,0,0.01,0,2.3794196120390594,2.3794196120390594,0.283,0,2.1624586407759967,2.1624586407759967,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,122.69000000000004,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
